Name,Score,Total,Percentage,Timestamp
Jjake,3,10,30.0,2026-05-14 16:24:21
Abiola,3,10,30.0,2026-05-14 16:35:26
Abiola,3,10,30.0,2026-05-14 16:38:34
Jjhjj,6,10,60.0,2026-05-14 16:47:48
Eee,1,10,10.0,2026-05-14 16:53:03
Svdfa,10,10,100.0,2026-05-14 17:05:42
Dfda,10,10,100.0,2026-05-14 17:09:23
Ngngng,10,10,100.0,2026-05-15 18:33:45
Abiola,1,10,10.0,2026-05-16 19:19:09
Abiola,1,10,10.0,2026-05-16 19:19:09
Abiola,10,10,100.0,2026-05-16 19:24:23
Abiola,10,10,100.0,2026-05-16 19:24:59
Abiola,10,10,100.0,2026-05-16 19:50:01
Abiola,10,10,100.0,2026-05-16 21:21:36
Abiola,10,10,100.0,2026-05-20 16:02:14
Abiola,10,10,100.0,2026-05-20 16:02:52
Abiola,10,10,100.0,2026-05-26 10:27:36
Test,6,10,60.0,2026-05-26 12:31:08
T,5,10,50.0,2026-05-26 12:34:32
Test,4,10,40.0,2026-05-26 16:56:36
Oienrge,5,10,50.0,2026-05-27 13:28:11
Mfr,1,10,10.0,2026-05-27 19:39:18
